Amount,Merchant,Timestamp,Description,Category
15,Dunkin' Donuts,2025-08-10T09:00:00Z,Coffee and donuts for the team,Food
12,Uber,2025-08-10T11:45:00Z,Ride to the doctor's office,Transport
15.99,Netflix,2025-08-11T08:00:00Z,Monthly streaming service subscription,Subscription
65.75,Online Retailer B,2025-08-11T14:20:00Z,New book and a pair of socks,Shopping
80,Electricity Company,2025-08-12T09:10:00Z,Utility bill for August,Utilities
4.5,Coffee Shop C,2025-08-12T16:05:00Z,Morning coffee and a croissant,Food
22,City Bus Co.,2025-08-13T07:55:00Z,Monthly bus pass,Transport
19.99,Spotify,2025-08-13T12:00:00Z,Premium music service,Subscription
120.5,Restaurant D,2025-08-14T20:15:00Z,Dinner with friends,Food
45,Gas Station E,2025-08-15T09:30:00Z,Fuel for the car,Transport
35,Online Clothing Store,2025-08-15T15:45:00Z,New t-shirt and jeans,Shopping
95,Water & Sewer Department,2025-08-16T11:00:00Z,Monthly water bill,Utilities
3.25,Bakery F,2025-08-16T18:00:00Z,A loaf of fresh bread,Food
28,Train Services,2025-08-17T08:10:00Z,Round trip ticket to the city center,Transport
8.99,Hulu,2025-08-17T13:30:00Z,Streaming TV service,Subscription
55,Bookstore G,2025-08-18T10:00:00Z,Two new novels,Shopping
110,Internet Provider,2025-08-19T09:45:00Z,Internet service for the month,Utilities
7.5,Local Cafe,2025-08-19T15:30:00Z,Coffee and a pastry,Food
14,Taxi Service H,2025-08-20T09:05:00Z,Short taxi ride,Transport
10.99,Amazon Prime,2025-08-20T16:00:00Z,Annual Prime subscription renewal,Subscription
150,Department Store I,2025-08-21T11:20:00Z,New kitchen appliance,Shopping
42.3,Corner Market,2025-08-22T09:00:00Z,Snacks and drinks for the road,Food
18.5,Metro Transit,2025-08-22T17:30:00Z,Subway fare,Transport
29.99,YouTube Premium,2025-08-23T08:00:00Z,Ad-free video subscription,Subscription
88,Home Depot,2025-08-23T12:45:00Z,Hardware for a DIY project,Shopping
75,Phone Company,2025-08-24T10:00:00Z,Monthly phone bill,Utilities
6.5,Pizzeria,2025-08-24T19:00:00Z,A slice of pizza and a soda,Food
31,Airport Shuttle,2025-08-25T06:00:00Z,Ride to the airport,Transport
9.99,Audible,2025-08-25T11:00:00Z,Audiobook subscription,Subscription
60,Sporting Goods,2025-08-26T14:30:00Z,Running shoes,Shopping
130,Gas & Electric,2025-08-27T09:00:00Z,Combined utility bill,Utilities
4,Deli,2025-08-27T12:00:00Z,Sandwich for lunch,Food
17.5,Bus Pass Office,2025-08-28T08:30:00Z,Weekly bus pass,Transport
14.99,NYT Digital,2025-08-28T10:00:00Z,Online newspaper subscription,Subscription
90,Furniture Store,2025-08-29T16:00:00Z,Small side table,Shopping
105,Water Bill Co.,2025-08-30T10:00:00Z,Quarterly water payment,Utilities
16,Sushi Shop,2025-08-30T20:00:00Z,Takeout dinner,Food
11.5,Uber,2025-08-31T08:45:00Z,Ride to work,Transport
19.99,Apple Music,2025-08-31T13:00:00Z,Family music subscription,Subscription
25,Online Art Store,2025-09-01T11:15:00Z,Digital art prints,Shopping
85,Internet Service,2025-09-02T09:30:00Z,Monthly internet fee,Utilities
5.5,Snack Vending,2025-09-02T14:00:00Z,Quick snack,Food
20,Public Transport,2025-09-03T07:40:00Z,Weekly pass,Transport
15.99,Disney+,2025-09-03T11:00:00Z,Monthly streaming service,Subscription
125,Clothing Store,2025-09-04T16:00:00Z,New jacket,Shopping
90,Gas Bill,2025-09-05T09:00:00Z,Monthly gas charge,Utilities
10,Lunch Spot,2025-09-05T12:30:00Z,Quick lunch,Food
33,Railroad Ticket,2025-09-06T07:00:00Z,Commuter train ticket,Transport
22.99,The Athletic,2025-09-06T10:00:00Z,Sports news subscription,Subscription
75,Electronics Store,2025-09-07T15:00:00Z,New headphones,Shopping
115,City Utilities,2025-09-08T09:00:00Z,Combined water and trash bill,Utilities
6.5,Smoothie Bar,2025-09-08T11:00:00Z,Morning smoothie,Food
18,Uber,2025-09-09T10:00:00Z,Ride to the gym,Transport
10.99,HBO Max,2025-09-09T12:00:00Z,Entertainment subscription,Subscription
50,Etsy,2025-09-10T14:00:00Z,Handmade gift,Shopping
140,Power Company,2025-09-11T09:00:00Z,Electricity bill,Utilities
8,Local Bakery,2025-09-11T16:00:00Z,Afternoon snack,Food
25,Bus Service,2025-09-12T07:30:00Z,Bus fare,Transport
16.99,Peacock,2025-09-12T12:00:00Z,TV streaming service,Subscription
100,Amazon,2025-09-13T15:00:00Z,Misc household items,Shopping
110,Gas & Water,2025-09-14T09:00:00Z,Monthly utility payment,Utilities
9.5,Food Truck,2025-09-14T13:00:00Z,Lunch from a food truck,Food
15,Taxi,2025-09-15T11:00:00Z,Cab ride,Transport
19.99,Apple TV+,2025-09-15T16:00:00Z,Streaming subscription,Subscription
65,Target,2025-09-16T10:00:00Z,Groceries and some home goods,Shopping
95,Internet Bill,2025-09-17T09:00:00Z,Monthly fee,Utilities
4.25,Corner Store,2025-09-17T14:00:00Z,Cold drink and chips,Food
28,Train Ticket,2025-09-18T08:00:00Z,Ticket for the metro,Transport
12.99,Spotify Family,2025-09-18T12:00:00Z,Music subscription,Subscription
70,Home Goods,2025-09-19T16:00:00Z,New lamp,Shopping
130,Electric Company,2025-09-20T09:00:00Z,Utility bill,Utilities
7,Cafe,2025-09-20T11:00:00Z,Morning coffee,Food
11,Uber,2025-09-21T09:00:00Z,Short trip,Transport
15.99,Hulu No Ads,2025-09-21T13:00:00Z,Streaming service,Subscription
80,Bookstore,2025-09-22T10:00:00Z,Books,Shopping
105,Water Bill,2025-09-23T09:00:00Z,Water and sewer,Utilities
3.5,Deli,2025-09-23T12:00:00Z,Lunch,Food
17,Bus Pass,2025-09-24T08:00:00Z,Weekly pass,Transport
8.99,Audible,2025-09-24T11:00:00Z,Audiobook subscription,Subscription
55,Grocery Store,2025-09-25T15:00:00Z,Groceries,Food
125,Clothing Store,2025-09-26T10:00:00Z,New jeans,Shopping
85,Internet Provider,2025-09-27T09:00:00Z,Monthly internet service,Utilities
25,Pizzeria,2025-09-27T19:00:00Z,Pizza,Food
14,Taxi,2025-09-28T11:00:00Z,Cab fare,Transport
19.99,Spotify,2025-09-28T14:00:00Z,Premium music service,Subscription
90,Home Decor,2025-09-29T16:00:00Z,New curtains,Shopping
115,Utilities,2025-09-30T09:00:00Z,Combined bill,Utilities
6,Coffee Shop,2025-09-30T10:00:00Z,Coffee,Food
18.5,Metro,2025-10-01T08:00:00Z,Subway fare,Transport
15.99,Netflix,2025-10-01T12:00:00Z,Monthly streaming service,Subscription
75,Electronics,2025-10-02T15:00:00Z,Computer mouse,Shopping
100,Gas Company,2025-10-03T09:00:00Z,Monthly gas bill,Utilities
8.5,Restaurant,2025-10-03T19:00:00Z,Dinner,Food
22,Bus Fare,2025-10-04T07:00:00Z,Round trip ticket,Transport
10.99,Amazon Prime,2025-10-04T14:00:00Z,Subscription renewal,Subscription
120,Clothing Store,2025-10-05T16:00:00Z,New jacket,Shopping
130,Internet Bill,2025-10-06T09:00:00Z,Monthly fee,Utilities
5.25,Bakery,2025-10-06T11:00:00Z,Pastries,Food
13,Uber,2025-10-07T10:00:00Z,Ride to the mall,Transport
8.99,Hulu,2025-10-07T13:00:00Z,Streaming service,Subscription
60,Sporting Goods,2025-10-08T15:00:00Z,Running shorts,Shopping
95,Water Bill,2025-10-09T09:00:00Z,Quarterly bill,Utilities
3,Snack,2025-10-09T14:00:00Z,Chips and soda,Food
19.5,Train,2025-10-10T08:00:00Z,Commuter ticket,Transport
19.99,NYT Digital,2025-10-10T10:00:00Z,Online news subscription,Subscription
70,Bookstore,2025-10-11T16:00:00Z,New books,Shopping
140,Electricity,2025-10-12T09:00:00Z,Monthly bill,Utilities
7.5,Smoothie Bar,2025-10-12T12:00:00Z,Morning smoothie,Food
28,Bus,2025-10-13T07:30:00Z,Weekly pass,Transport
15.99,Disney+,2025-10-13T11:00:00Z,Streaming service,Subscription
110,Home Goods,2025-10-14T15:00:00Z,New throw pillows,Shopping
80,Phone Bill,2025-10-15T09:00:00Z,Monthly service,Utilities
4.5,Bakery,2025-10-15T14:00:00Z,Pastries,Food
12,Cab,2025-10-16T08:00:00Z,Ride to the airport,Transport
22.99,The Athletic,2025-10-16T12:00:00Z,Sports news subscription,Subscription
90,Furniture Store,2025-10-17T16:00:00Z,Small bookshelf,Shopping
115,Utilities,2025-10-18T09:00:00Z,Combined bill,Utilities
6.5,Coffee Shop,2025-10-18T10:00:00Z,Morning coffee,Food
20,Public Transport,2025-10-19T08:00:00Z,Weekly pass,Transport
10.99,HBO Max,2025-10-19T12:00:00Z,Entertainment subscription,Subscription
150,Electronics,2025-10-20T14:00:00Z,New laptop,Shopping
100,Gas & Electric,2025-10-21T09:00:00Z,Combined utility bill,Utilities
9.5,Food Truck,2025-10-21T13:00:00Z,Lunch from a food truck,Food
17,Taxi,2025-10-22T11:00:00Z,Cab ride,Transport
19.99,Apple Music,2025-10-22T16:00:00Z,Family music subscription,Subscription
65,Target,2025-10-23T10:00:00Z,Groceries and some home goods,Shopping
125,Internet Bill,2025-10-24T09:00:00Z,Monthly fee,Utilities
7,Cafe,2025-10-24T14:00:00Z,Afternoon coffee,Food
31,Train Services,2025-10-25T08:00:00Z,Round trip ticket,Transport
16.99,Peacock,2025-10-25T12:00:00Z,TV streaming service,Subscription
120,Clothing Store,2025-10-26T15:00:00Z,New sweater,Shopping
90,Gas Bill,2025-10-27T09:00:00Z,Monthly gas charge,Utilities
8,Restaurant,2025-10-27T19:00:00Z,Dinner,Food
25,Bus Service,2025-10-28T07:30:00Z,Bus fare,Transport
15.99,Netflix,2025-10-28T11:00:00Z,Streaming service,Subscription
75,Electronics Store,2025-10-29T16:00:00Z,New phone case,Shopping
115,City Utilities,2025-10-30T09:00:00Z,Combined water and trash bill,Utilities
5.5,Snack Vending,2025-10-30T14:00:00Z,Quick snack,Food
18.5,Metro Transit,2025-10-31T08:45:00Z,Subway fare,Transport
12.99,Spotify Family,2025-10-31T13:00:00Z,Music subscription,Subscription
100,Amazon,2025-11-01T11:15:00Z,Holiday shopping,Shopping
140,Power Company,2025-11-02T09:30:00Z,Electricity bill,Utilities
4.25,Corner Store,2025-11-02T14:00:00Z,Cold drink and chips,Food
22,Public Transport,2025-11-03T07:40:00Z,Weekly pass,Transport
8.99,Audible,2025-11-03T11:00:00Z,Audiobook subscription,Subscription
60,Sporting Goods,2025-11-04T15:00:00Z,New sports gear,Shopping
95,Internet Bill,2025-11-05T09:00:00Z,Monthly fee,Utilities
10,Lunch Spot,2025-11-05T12:30:00Z,Quick lunch,Food
14,Uber,2025-11-06T07:00:00Z,Morning ride,Transport
19.99,NYT Digital,2025-11-06T10:00:00Z,Online news subscription,Subscription
150,Department Store,2025-11-07T16:00:00Z,New kitchen appliance,Shopping
110,Gas & Water,2025-11-08T09:00:00Z,Monthly utility payment,Utilities
3.25,Bakery,2025-11-08T18:00:00Z,A loaf of fresh bread,Food
15,Dunkin' Donuts,2025-11-09T09:00:00Z,Coffee and donuts for the team,Food
12,Uber,2025-11-09T11:45:00Z,Ride to the doctor's office,Transport
15.99,Netflix,2025-11-10T08:00:00Z,Monthly streaming service subscription,Subscription
65.75,Online Retailer B,2025-11-10T14:20:00Z,New book and a pair of socks,Shopping
80,Electricity Company,2025-11-11T09:10:00Z,Utility bill for November,Utilities
4.5,Coffee Shop C,2025-11-11T16:05:00Z,Morning coffee and a croissant,Food
22,City Bus Co.,2025-11-12T07:55:00Z,Monthly bus pass,Transport
19.99,Spotify,2025-11-12T12:00:00Z,Premium music service,Subscription
120.5,Restaurant D,2025-11-13T20:15:00Z,Dinner with friends,Food
45,Gas Station E,2025-11-14T09:30:00Z,Fuel for the car,Transport
35,Online Clothing Store,2025-11-14T15:45:00Z,New t-shirt and jeans,Shopping
95,Water & Sewer Department,2025-11-15T11:00:00Z,Monthly water bill,Utilities
3.25,Bakery F,2025-11-15T18:00:00Z,A loaf of fresh bread,Food
28,Train Services,2025-11-16T08:10:00Z,Round trip ticket to the city center,Transport
8.99,Hulu,2025-11-16T13:30:00Z,Streaming TV service,Subscription
55,Bookstore G,2025-11-17T10:00:00Z,Two new novels,Shopping
110,Internet Provider,2025-11-18T09:45:00Z,Internet service for the month,Utilities
7.5,Local Cafe,2025-11-18T15:30:00Z,Coffee and a pastry,Food
14,Taxi Service H,2025-11-19T09:05:00Z,Short taxi ride,Transport
10.99,Amazon Prime,2025-11-19T16:00:00Z,Annual Prime subscription renewal,Subscription
150,Department Store I,2025-11-20T11:20:00Z,New kitchen appliance,Shopping
42.3,Corner Market,2025-11-21T09:00:00Z,Snacks and drinks for the road,Food
18.5,Metro Transit,2025-11-21T17:30:00Z,Subway fare,Transport
29.99,YouTube Premium,2025-11-22T08:00:00Z,Ad-free video subscription,Subscription
88,Home Depot,2025-11-22T12:45:00Z,Hardware for a DIY project,Shopping
75,Phone Company,2025-11-23T10:00:00Z,Monthly phone bill,Utilities
6.5,Pizzeria,2025-11-23T19:00:00Z,A slice of pizza and a soda,Food
31,Airport Shuttle,2025-11-24T06:00:00Z,Ride to the airport,Transport
9.99,Audible,2025-11-24T11:00:00Z,Audiobook subscription,Subscription
60,Sporting Goods,2025-11-25T14:30:00Z,Running shoes,Shopping
130,Gas & Electric,2025-11-26T09:00:00Z,Combined utility bill,Utilities
4,Deli,2025-11-26T12:00:00Z,Sandwich for lunch,Food
17.5,Bus Pass Office,2025-11-27T08:30:00Z,Weekly bus pass,Transport
14.99,NYT Digital,2025-11-27T10:00:00Z,Online newspaper subscription,Subscription
90,Furniture Store,2025-11-28T16:00:00Z,Small side table,Shopping
105,Water Bill Co.,2025-11-29T10:00:00Z,Quarterly water payment,Utilities
16,Sushi Shop,2025-11-29T20:00:00Z,Takeout dinner,Food
11.5,Uber,2025-11-30T08:45:00Z,Ride to work,Transport
19.99,Apple Music,2025-11-30T13:00:00Z,Family music subscription,Subscription
25,Online Art Store,2025-12-01T11:15:00Z,Digital art prints,Shopping
85,Internet Service,2025-12-02T09:30:00Z,Monthly internet fee,Utilities
5.5,Snack Vending,2025-12-02T14:00:00Z,Quick snack,Food
20,Public Transport,2025-12-03T07:40:00Z,Weekly pass,Transport
15.99,Disney+,2025-12-03T11:00:00Z,Monthly streaming service,Subscription
125,Clothing Store,2025-12-04T16:00:00Z,New jacket,Shopping
90,Gas Bill,2025-12-05T09:00:00Z,Monthly gas charge,Utilities
10,Lunch Spot,2025-12-05T12:30:00Z,Quick lunch,Food
33,Railroad Ticket,2025-12-06T07:00:00Z,Commuter train ticket,Transport
22.99,The Athletic,2025-12-06T10:00:00Z,Sports news subscription,Subscription
75,Electronics Store,2025-12-07T15:00:00Z,New headphones,Shopping
115,City Utilities,2025-12-08T09:00:00Z,Combined water and trash bill,Utilities
6.5,Smoothie Bar,2025-12-08T11:00:00Z,Morning smoothie,Food
18,Uber,2025-12-09T10:00:00Z,Ride to the gym,Transport
10.99,HBO Max,2025-12-09T12:00:00Z,Entertainment subscription,Subscription
50,Etsy,2025-12-10T14:00:00Z,Handmade gift,Shopping
140,Power Company,2025-12-11T09:00:00Z,Electricity bill,Utilities
8,Local Bakery,2025-12-11T16:00:00Z,Afternoon snack,Food
25,Bus Service,2025-12-12T07:30:00Z,Bus fare,Transport
16.99,Peacock,2025-12-12T12:00:00Z,TV streaming service,Subscription
100,Amazon,2025-12-13T15:00:00Z,Misc household items,Shopping
110,Gas & Water,2025-12-14T09:00:00Z,Monthly utility payment,Utilities
9.5,Food Truck,2025-12-14T13:00:00Z,Lunch from a food truck,Food
15,Taxi,2025-12-15T11:00:00Z,Cab ride,Transport
19.99,Apple TV+,2025-12-15T16:00:00Z,Streaming subscription,Subscription
65,Target,2025-12-16T10:00:00Z,Groceries and some home goods,Shopping
95,Internet Bill,2025-12-17T09:00:00Z,Monthly fee,Utilities
4.25,Corner Store,2025-12-17T14:00:00Z,Cold drink and chips,Food
28,Train Ticket,2025-12-18T08:00:00Z,Ticket for the metro,Transport
12.99,Spotify Family,2025-12-18T12:00:00Z,Music subscription,Subscription
70,Home Goods,2025-12-19T16:00:00Z,New lamp,Shopping
130,Electric Company,2025-12-20T09:00:00Z,Utility bill,Utilities
7,Cafe,2025-12-20T11:00:00Z,Morning coffee,Food
11,Uber,2025-12-21T09:00:00Z,Short trip,Transport
15.99,Hulu No Ads,2025-12-21T13:00:00Z,Streaming service,Subscription
80,Bookstore,2025-12-22T10:00:00Z,Books,Shopping
105,Water Bill,2025-12-23T09:00:00Z,Water and sewer,Utilities
3.5,Deli,2025-12-23T12:00:00Z,Lunch,Food
17,Bus Pass,2025-12-24T08:00:00Z,Weekly pass,Transport
8.99,Audible,2025-12-24T11:00:00Z,Audiobook subscription,Subscription
55,Grocery Store,2025-12-25T15:00:00Z,Groceries,Food
125,Clothing Store,2025-12-26T10:00:00Z,New jeans,Shopping
85,Internet Provider,2025-12-27T09:00:00Z,Monthly internet service,Utilities
25,Pizzeria,2025-12-27T19:00:00Z,Pizza,Food
14,Taxi,2025-12-28T11:00:00Z,Cab fare,Transport
19.99,Spotify,2025-12-28T14:00:00Z,Premium music service,Subscription
90,Home Decor,2025-12-29T16:00:00Z,New curtains,Shopping
115,Utilities,2025-12-30T09:00:00Z,Combined bill,Utilities
6,Coffee Shop,2025-12-30T10:00:00Z,Coffee,Food
18.5,Metro,2025-12-31T08:00:00Z,Subway fare,Transport
15.99,Netflix,2025-12-31T12:00:00Z,Monthly streaming service,Subscription
75,Electronics,2026-01-01T15:00:00Z,Computer mouse,Shopping
100,Gas Company,2026-01-02T09:00:00Z,Monthly gas bill,Utilities
8.5,Restaurant,2026-01-02T19:00:00Z,Dinner,Food
22,Bus Fare,2026-01-03T07:00:00Z,Round trip ticket,Transport
10.99,Amazon Prime,2026-01-03T14:00:00Z,Subscription renewal,Subscription
120,Clothing Store,2026-01-04T16:00:00Z,New jacket,Shopping
130,Internet Bill,2026-01-05T09:00:00Z,Monthly fee,Utilities
5.25,Bakery,2026-01-05T11:00:00Z,Pastries,Food
13,Uber,2026-01-06T10:00:00Z,Ride to the mall,Transport
8.99,Hulu,2026-01-06T13:00:00Z,Streaming service,Subscription
60,Sporting Goods,2026-01-07T15:00:00Z,Running shorts,Shopping
95,Water Bill,2026-01-08T09:00:00Z,Quarterly bill,Utilities
3,Snack,2026-01-08T14:00:00Z,Chips and soda,Food
19.5,Train,2026-01-09T08:00:00Z,Commuter ticket,Transport
19.99,NYT Digital,2026-01-09T10:00:00Z,Online news subscription,Subscription
70,Bookstore,2026-01-10T16:00:00Z,New books,Shopping
140,Electricity,2026-01-11T09:00:00Z,Monthly bill,Utilities
7.5,Smoothie Bar,2026-01-11T12:00:00Z,Morning smoothie,Food
28,Bus,2026-01-12T07:30:00Z,Weekly pass,Transport
15.99,Disney+,2026-01-12T11:00:00Z,Streaming service,Subscription
110,Home Goods,2026-01-13T15:00:00Z,New throw pillows,Shopping
80,Phone Bill,2026-01-14T09:00:00Z,Monthly service,Utilities
4.5,Bakery,2026-01-14T14:00:00Z,Pastries,Food
12,Cab,2026-01-15T08:00:00Z,Ride to the airport,Transport
22.99,The Athletic,2026-01-15T12:00:00Z,Sports news subscription,Subscription
90,Furniture Store,2026-01-16T16:00:00Z,Small bookshelf,Shopping
115,Utilities,2026-01-17T09:00:00Z,Combined bill,Utilities
6.5,Coffee Shop,2026-01-17T10:00:00Z,Morning coffee,Food
20,Public Transport,2026-01-18T08:00:00Z,Weekly pass,Transport
10.99,HBO Max,2026-01-18T12:00:00Z,Entertainment subscription,Subscription
150,Electronics,2026-01-19T14:00:00Z,New laptop,Shopping
100,Gas & Electric,2026-01-20T09:00:00Z,Combined utility bill,Utilities
9.5,Food Truck,2026-01-20T13:00:00Z,Lunch from a food truck,Food
17,Taxi,2026-01-21T11:00:00Z,Cab ride,Transport
19.99,Apple Music,2026-01-21T16:00:00Z,Family music subscription,Subscription
65,Target,2026-01-22T10:00:00Z,Groceries and some home goods,Shopping
125,Internet Bill,2026-01-23T09:00:00Z,Monthly fee,Utilities
7,Cafe,2026-01-23T14:00:00Z,Afternoon coffee,Food
31,Train Services,2026-01-24T08:00:00Z,Round trip ticket,Transport
16.99,Peacock,2026-01-24T12:00:00Z,TV streaming service,Subscription
120,Clothing Store,2026-01-25T15:00:00Z,New sweater,Shopping
90,Gas Bill,2026-01-26T09:00:00Z,Monthly gas charge,Utilities
8,Restaurant,2026-01-26T19:00:00Z,Dinner,Food
25,Bus Service,2026-01-27T07:30:00Z,Bus fare,Transport
15.99,Netflix,2026-01-27T11:00:00Z,Streaming service,Subscription
75,Electronics Store,2026-01-28T16:00:00Z,New phone case,Shopping
115,City Utilities,2026-01-29T09:00:00Z,Combined water and trash bill,Utilities
5.5,Snack Vending,2026-01-29T14:00:00Z,Quick snack,Food
18.5,Metro Transit,2026-01-30T08:45:00Z,Subway fare,Transport
12.99,Spotify Family,2026-01-30T13:00:00Z,Music subscription,Subscription
100,Amazon,2026-01-31T11:15:00Z,Holiday shopping,Shopping
140,Power Company,2026-02-01T09:30:00Z,Electricity bill,Utilities
4.25,Corner Store,2026-02-01T14:00:00Z,Cold drink and chips,Food
22,Public Transport,2026-02-02T07:40:00Z,Weekly pass,Transport
8.99,Audible,2026-02-02T11:00:00Z,Audiobook subscription,Subscription
60,Sporting Goods,2026-02-03T15:00:00Z,New sports gear,Shopping
95,Internet Bill,2026-02-04T09:00:00Z,Monthly fee,Utilities
10,Lunch Spot,2026-02-04T12:30:00Z,Quick lunch,Food
14,Uber,2026-02-05T07:00:00Z,Morning ride,Transport
19.99,NYT Digital,2026-02-05T10:00:00Z,Online news subscription,Subscription
150,Department Store,2026-02-06T16:00:00Z,New kitchen appliance,Shopping
110,Gas & Water,2026-02-07T09:00:00Z,Monthly utility payment,Utilities
3.25,Bakery,2026-02-07T18:00:00Z,A loaf of fresh bread,Food
15,Dunkin' Donuts,2026-02-08T09:00:00Z,Coffee and donuts for the team,Food
12,Uber,2026-02-08T11:45:00Z,Ride to the doctor's office,Transport
15.99,Netflix,2026-02-09T08:00:00Z,Monthly streaming service subscription,Subscription
65.75,Online Retailer B,2026-02-09T14:20:00Z,New book and a pair of socks,Shopping
80,Electricity Company,2026-02-10T09:10:00Z,Utility bill for February,Utilities
4.5,Coffee Shop C,2026-02-10T16:05:00Z,Morning coffee and a croissant,Food
22,City Bus Co.,2026-02-11T07:55:00Z,Monthly bus pass,Transport
19.99,Spotify,2026-02-11T12:00:00Z,Premium music service,Subscription
120.5,Restaurant D,2026-02-12T20:15:00Z,Dinner with friends,Food
45,Gas Station E,2026-02-13T09:30:00Z,Fuel for the car,Transport
35,Online Clothing Store,2026-02-13T15:45:00Z,New t-shirt and jeans,Shopping
95,Water & Sewer Department,2026-02-14T11:00:00Z,Monthly water bill,Utilities
3.25,Bakery F,2026-02-14T18:00:00Z,A loaf of fresh bread,Food
28,Train Services,2026-02-15T08:10:00Z,Round trip ticket to the city center,Transport
8.99,Hulu,2026-02-15T13:30:00Z,Streaming TV service,Subscription
55,Bookstore G,2026-02-16T10:00:00Z,Two new novels,Shopping
110,Internet Provider,2026-02-17T09:45:00Z,Internet service for the month,Utilities
7.5,Local Cafe,2026-02-17T15:30:00Z,Coffee and a pastry,Food
14,Taxi Service H,2026-02-18T09:05:00Z,Short taxi ride,Transport
10.99,Amazon Prime,2026-02-18T16:00:00Z,Annual Prime subscription renewal,Subscription
150,Department Store I,2026-02-19T11:20:00Z,New kitchen appliance,Shopping
42.3,Corner Market,2026-02-20T09:00:00Z,Snacks and drinks for the road,Food
18.5,Metro Transit,2026-02-20T17:30:00Z,Subway fare,Transport
29.99,YouTube Premium,2026-02-21T08:00:00Z,Ad-free video subscription,Subscription
88,Home Depot,2026-02-21T12:45:00Z,Hardware for a DIY project,Shopping
75,Phone Company,2026-02-22T10:00:00Z,Monthly phone bill,Utilities
6.5,Pizzeria,2026-02-22T19:00:00Z,A slice of pizza and a soda,Food
31,Airport Shuttle,2026-02-23T06:00:00Z,Ride to the airport,Transport
9.99,Audible,2026-02-23T11:00:00Z,Audiobook subscription,Subscription
60,Sporting Goods,2026-02-24T14:30:00Z,Running shoes,Shopping
130,Gas & Electric,2026-02-25T09:00:00Z,Combined utility bill,Utilities
4,Deli,2026-02-25T12:00:00Z,Sandwich for lunch,Food
17.5,Bus Pass Office,2026-02-26T08:30:00Z,Weekly bus pass,Transport
14.99,NYT Digital,2026-02-26T10:00:00Z,Online newspaper subscription,Subscription
90,Furniture Store,2026-02-27T16:00:00Z,Small side table,Shopping
105,Water Bill Co.,2026-02-28T10:00:00Z,Quarterly water payment,Utilities
16,Sushi Shop,2026-02-28T20:00:00Z,Takeout dinner,Food
11.5,Uber,2026-03-01T08:45:00Z,Ride to work,Transport
19.99,Apple Music,2026-03-01T13:00:00Z,Family music subscription,Subscription
25,Online Art Store,2026-03-02T11:15:00Z,Digital art prints,Shopping
85,Internet Service,2026-03-03T09:30:00Z,Monthly internet fee,Utilities
5.5,Snack Vending,2026-03-03T14:00:00Z,Quick snack,Food
20,Public Transport,2026-03-04T07:40:00Z,Weekly pass,Transport
15.99,Disney+,2026-03-04T11:00:00Z,Monthly streaming service,Subscription
125,Clothing Store,2026-03-05T16:00:00Z,New jacket,Shopping
90,Gas Bill,2026-03-06T09:00:00Z,Monthly gas charge,Utilities
10,Lunch Spot,2026-03-06T12:30:00Z,Quick lunch,Food
33,Railroad Ticket,2026-03-07T07:00:00Z,Commuter train ticket,Transport
22.99,The Athletic,2026-03-07T10:00:00Z,Sports news subscription,Subscription
75,Electronics Store,2026-03-08T15:00:00Z,New headphones,Shopping
115,City Utilities,2026-03-09T09:00:00Z,Combined water and trash bill,Utilities
6.5,Smoothie Bar,2026-03-09T11:00:00Z,Morning smoothie,Food
18,Uber,2026-03-10T10:00:00Z,Ride to the gym,Transport
10.99,HBO Max,2026-03-10T12:00:00Z,Entertainment subscription,Subscription
50,Etsy,2026-03-11T14:00:00Z,Handmade gift,Shopping
140,Power Company,2026-03-12T09:00:00Z,Electricity bill,Utilities
8,Local Bakery,2026-03-12T16:00:00Z,Afternoon snack,Food
25,Bus Service,2026-03-13T07:30:00Z,Bus fare,Transport
16.99,Peacock,2026-03-13T12:00:00Z,TV streaming service,Subscription
100,Amazon,2026-03-14T15:00:00Z,Misc household items,Shopping
110,Gas & Water,2026-03-15T09:00:00Z,Monthly utility payment,Utilities
9.5,Food Truck,2026-03-15T13:00:00Z,Lunch from a food truck,Food
15,Taxi,2026-03-16T11:00:00Z,Cab ride,Transport
19.99,Apple TV+,2026-03-16T16:00:00Z,Streaming subscription,Subscription
65,Target,2026-03-17T10:00:00Z,Groceries and some home goods,Shopping
95,Internet Bill,2026-03-18T09:00:00Z,Monthly fee,Utilities
4.25,Corner Store,2026-03-18T14:00:00Z,Cold drink and chips,Food
28,Train Ticket,2026-03-19T08:00:00Z,Ticket for the metro,Transport
12.99,Spotify Family,2026-03-19T12:00:00Z,Music subscription,Subscription
70,Home Goods,2026-03-20T16:00:00Z,New lamp,Shopping
130,Electric Company,2026-03-21T09:00:00Z,Utility bill,Utilities
7,Cafe,2026-03-21T11:00:00Z,Morning coffee,Food
11,Uber,2026-03-22T09:00:00Z,Short trip,Transport
15.99,Hulu No Ads,2026-03-22T13:00:00Z,Streaming service,Subscription
80,Bookstore,2026-03-23T10:00:00Z,Books,Shopping
105,Water Bill,2026-03-24T09:00:00Z,Water and sewer,Utilities
3.5,Deli,2026-03-24T12:00:00Z,Lunch,Food
17,Bus Pass,2026-03-25T08:00:00Z,Weekly pass,Transport
8.99,Audible,2026-03-25T11:00:00Z,Audiobook subscription,Subscription
55,Grocery Store,2026-03-26T15:00:00Z,Groceries,Food
